application_number,application_year,application_date,xml_relative_path
10154773,2003,20030102,xml_files\pa030102_10154773_20030102.xml
10145534,2003,20030102,xml_files\pa030102_10145534_20030102.xml
10097220,2003,20030102,xml_files\pa030102_10097220_20030102.xml
10138494,2003,20030102,xml_files\pa030102_10138494_20030102.xml
10007610,2003,20030102,xml_files\pa030102_10007610_20030102.xml
10178343,2003,20030102,xml_files\pa030102_10178343_20030102.xml
10096748,2003,20030102,xml_files\pa030102_10096748_20030102.xml
10162535,2003,20030102,xml_files\pa030102_10162535_20030102.xml
9896906,2003,20030102,xml_files\pa030102_09896906_20030102.xml
10179571,2003,20030102,xml_files\pa030102_10179571_20030102.xml
9896300,2003,20030102,xml_files\pa030102_09896300_20030102.xml
10229533,2003,20030102,xml_files\pa030102_10229533_20030102.xml
10179248,2003,20030102,xml_files\pa030102_10179248_20030102.xml
10136106,2003,20030102,xml_files\pa030102_10136106_20030102.xml
10169674,2003,20030102,xml_files\pa030102_10169674_20030102.xml
10181026,2003,20030102,xml_files\pa030102_10181026_20030102.xml
9895764,2003,20030102,xml_files\pa030102_09895764_20030102.xml
10169776,2003,20030102,xml_files\pa030102_10169776_20030102.xml
10186581,2003,20030102,xml_files\pa030102_10186581_20030102.xml
10182860,2003,20030102,xml_files\pa030102_10182860_20030102.xml
9893365,2003,20030102,xml_files\pa030102_09893365_20030102.xml
10149374,2003,20030102,xml_files\pa030102_10149374_20030102.xml
9331252,2003,20030102,xml_files\pa030102_09331252_20030102.xml
9529610,2003,20030102,xml_files\pa030102_09529610_20030102.xml
9832876,2003,20030102,xml_files\pa030102_09832876_20030102.xml
9927510,2003,20030102,xml_files\pa030102_09927510_20030102.xml
10177002,2003,20030102,xml_files\pa030102_10177002_20030102.xml
10027579,2003,20030102,xml_files\pa030102_10027579_20030102.xml
10136822,2003,20030102,xml_files\pa030102_10136822_20030102.xml
10183791,2003,20030102,xml_files\pa030102_10183791_20030102.xml
9892861,2003,20030102,xml_files\pa030102_09892861_20030102.xml
9946425,2003,20030102,xml_files\pa030102_09946425_20030102.xml
10106403,2003,20030102,xml_files\pa030102_10106403_20030102.xml
10151664,2003,20030102,xml_files\pa030102_10151664_20030102.xml
10095965,2003,20030102,xml_files\pa030102_10095965_20030102.xml
10050661,2003,20030102,xml_files\pa030102_10050661_20030102.xml
9895514,2003,20030102,xml_files\pa030102_09895514_20030102.xml
9892438,2003,20030102,xml_files\pa030102_09892438_20030102.xml
9895852,2003,20030102,xml_files\pa030102_09895852_20030102.xml
9895115,2003,20030102,xml_files\pa030102_09895115_20030102.xml
9897378,2003,20030102,xml_files\pa030102_09897378_20030102.xml
10119265,2003,20030102,xml_files\pa030102_10119265_20030102.xml
10123054,2003,20030102,xml_files\pa030102_10123054_20030102.xml
10197137,2003,20030102,xml_files\pa030102_10197137_20030102.xml
9893497,2003,20030102,xml_files\pa030102_09893497_20030102.xml
10042456,2003,20030102,xml_files\pa030102_10042456_20030102.xml
10170291,2003,20030102,xml_files\pa030102_10170291_20030102.xml
10169412,2003,20030102,xml_files\pa030102_10169412_20030102.xml
10167399,2003,20030102,xml_files\pa030102_10167399_20030102.xml
9897312,2003,20030102,xml_files\pa030102_09897312_20030102.xml
10179597,2003,20030102,xml_files\pa030102_10179597_20030102.xml
10159445,2003,20030102,xml_files\pa030102_10159445_20030102.xml
10181403,2003,20030102,xml_files\pa030102_10181403_20030102.xml
10168609,2003,20030102,xml_files\pa030102_10168609_20030102.xml
9895922,2003,20030102,xml_files\pa030102_09895922_20030102.xml
10183293,2003,20030102,xml_files\pa030102_10183293_20030102.xml
10162574,2003,20030102,xml_files\pa030102_10162574_20030102.xml
10126541,2003,20030102,xml_files\pa030102_10126541_20030102.xml
10151307,2003,20030102,xml_files\pa030102_10151307_20030102.xml
10169935,2003,20030102,xml_files\pa030102_10169935_20030102.xml
10186449,2003,20030102,xml_files\pa030102_10186449_20030102.xml
10087575,2003,20030102,xml_files\pa030102_10087575_20030102.xml
9895147,2003,20030102,xml_files\pa030102_09895147_20030102.xml
10232683,2003,20030102,xml_files\pa030102_10232683_20030102.xml
10193032,2003,20030102,xml_files\pa030102_10193032_20030102.xml
9923434,2003,20030102,xml_files\pa030102_09923434_20030102.xml
10170680,2003,20030102,xml_files\pa030102_10170680_20030102.xml
